selection_status,category,document_type,section,title,date_iso,year,size_mb,estimated_store_mb,cumulative_pdf_mb,cumulative_store_estimated_mb,path,exists,file_url,post_url
selected,avis,avis,conseil central de l’économie,Vers une réforme réussie du budget mobilité,2026-04-29,2026,0.209,0.628,0.209,0.628,avis/2026-04-30-08-29-55_doc261330fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-30-08-29-55_doc261330fr.pdf,https://www.ccecrb.fgov.be/p/fr/1384/vers-une-reforme-reussie-du-budget-mobilite
selected,rapport,rapport,conseil central de l’économie,Les déplacements domicile-travail en voiture privée : remboursements et alternatives possibles à la voiture,2026-04-22,2026,0.404,1.211,0.613,1.839,rapport/2026-04-22-04-32-04_doc261200fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-22-04-32-04_doc261200fr.pdf,https://www.ccecrb.fgov.be/p/fr/1377/les-deplacements-domicile-travail-en-voiture-privee-remboursements-et-alternatives-possibles-a-la-voiture
selected,avis,avis,conseil central de l’économie,Vers un système de billettique intégré pour les transports en commun en Belgique,2026-04-02,2026,0.095,0.286,0.708,2.124,avis/2026-04-03-09-49-58_doc261080fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-03-09-49-58_doc261080fr.pdf,https://www.ccecrb.fgov.be/p/fr/1374/vers-un-systeme-de-billettique-integre-pour-les-transports-en-commun-en-belgique
selected,avis,avis,conseil central de l’économie,"Impact de la transition climatique sur l’activité, l'emploi et la formation",2026-04-02,2026,3.921,11.763,4.629,13.888,avis/2026-04-03-09-43-23_doc261020fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-03-09-43-23_doc261020fr.pdf,https://www.ccecrb.fgov.be/p/fr/1373/impact-de-la-transition-climatique-sur-l-activite-l-emploi-et-la-formation
selected,avis-conjoint,avis conjoint,conseil central de l’économie,Avis sur le projet de plan d'action fédéral pour l'économie circulaire,2026-04-02,2026,4.251,12.754,8.881,26.642,avis-conjoint/2026-04-03-09-30-53_doc261035fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-03-09-30-53_doc261035fr.pdf,https://www.ccecrb.fgov.be/p/fr/1372/avis-sur-le-projet-de-plan-d-action-federal-pour-l-economie-circulaire
selected,avis,avis,conseil central de l’économie,Le mécanisme d’indexation plafonnée passé au crible par les partenaires sociaux,2026-03-31,2026,0.218,0.654,9.099,27.296,avis/2026-03-31-06-58-19_doc261000fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-31-06-58-19_doc261000fr.pdf,https://www.ccecrb.fgov.be/p/fr/1368/le-mecanisme-d-indexation-plafonnee-passe-au-crible-par-les-partenaires-sociaux
selected,avis-conjoint,avis conjoint,secteurs,Pourquoi une hausse de la TVA sur les produits alimentaires est une mauvaise idée,2026-03-31,2026,0.102,0.306,9.201,27.602,avis-conjoint/2026-04-28-02-48-59_CCE20261115AvishausseTVA.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-28-02-48-59_CCE20261115AvishausseTVA.pdf,https://www.ccecrb.fgov.be/p/fr/1380/pourquoi-une-hausse-de-la-tva-sur-les-produits-alimentaires-est-une-mauvaise-idee
selected,avis,avis,clauses abusives,Ajouts à la liste noire des clauses abusives dans les contrats conclus avec les consommateurs,2026-03-27,2026,1.367,4.101,10.568,31.703,avis/2026-04-28-10-34-05_doc261310fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-28-10-34-05_doc261310fr.pdf,https://www.ccecrb.fgov.be/p/fr/1378/ajouts-a-la-liste-noire-des-clauses-abusives-dans-les-contrats-conclus-avec-les-consommateurs
selected,actualite,actualité,secteurs,Points d’attention relatifs aux investissements publics dans la défense visant à respecter la norme de l’OTAN,2026-03-25,2026,0.113,0.338,10.68,32.041,actualite/2026-04-29-10-07-29_doc261141fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-29-10-07-29_doc261141fr.pdf,https://www.ccecrb.fgov.be/p/fr/1381/points-d-attention-relatifs-aux-investissements-publics-dans-la-defense-visant-a-respecter-la-norme-de-l-otan
selected,avis,avis,conseil central de l’économie,Une enveloppe spécifique pour les groupes vulnérables,2026-03-24,2026,0.713,2.138,11.393,34.178,avis/2026-03-25-10-27-21_doc260925fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-25-10-27-21_doc260925fr.pdf,https://www.ccecrb.fgov.be/p/fr/1365/une-enveloppe-specifique-pour-les-groupes-vulnerables
selected,avis-conjoint,avis conjoint,secteurs,Avis sur la rénovation des copropriétés,2026-03-18,2026,0.53,1.591,11.923,35.77,avis-conjoint/2026-03-20-01-29-34_CCE20260885Renovationenergetiquefinancementetcopropriete.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-20-01-29-34_CCE20260885Rénovationénergétiquefinancementetcopropriété.pdf,https://www.ccecrb.fgov.be/p/fr/1362/avis-sur-la-renovation-des-coproprietes
selected,avis,avis,clauses abusives,Suppression de l'exception relative aux marchés publics en cas de clauses abusives,2026-03-13,2026,0.764,2.291,12.687,38.06,avis/2026-04-02-10-30-08_doc260860fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-02-10-30-08_doc260860fr.pdf,https://www.ccecrb.fgov.be/p/fr/1369/suppression-de-l-exception-relative-aux-marches-publics-en-cas-de-clauses-abusives
selected,avis,avis,consommation,Dispositions diverses en matière de protection des consommateurs : la CCS Consommation publie un avis politique important,2026-03-10,2026,0.667,2.0,13.353,40.06,avis/2026-03-19-05-25-47_CCE20260870Avis_002_.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-19-05-25-47_CCE20260870Avis(002).pdf,https://www.ccecrb.fgov.be/p/fr/1363/dispositions-diverses-en-matiere-de-protection-des-consommateurs-la-ccs-consommation-publie-un-avis-politique-important
selected,avis,avis,consommation,Restriction de l'utilisation d'articles pyrotechniques,2026-03-10,2026,0.477,1.432,13.831,41.492,avis/2026-03-10-02-05-40_doc260775fr.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-10-02-05-40_doc260775fr.pdf,https://www.ccecrb.fgov.be/p/fr/1360/restriction-de-l-utilisation-d-articles-pyrotechniques
selected,avis,avis,concurrence,Marchés publics : Le guide de bonnes pratiques de l’ABC pour les acheteurs,2026-03-05,2026,0.667,2.0,14.497,43.492,avis/2026-03-13-09-58-15_CCE20260750Projetdeguiderelatifalapplicationdesreglesdeconcurrenceauxmarchespublics.pdf,yes,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-13-09-58-15_CCE20260750Projetdeguiderelatifàl’applicationdesrèglesdeconcurrenceauxmarchéspublics.pdf,https://www.ccecrb.fgov.be/p/fr/1361/marches-publics-le-guide-de-bonnes-pratiques-de-l-abc-pour-les-acheteurs
