category,files_present,size_mb,estimated_store_mb,selected_files,selected_size_mb,selected_estimated_store_mb
actualite,70,55.607,166.821,42,40.067,120.202
article,50,9.458,28.375,28,5.765,17.294
avis,451,186.039,558.118,179,93.731,281.194
avis-conjoint,51,28.535,85.604,31,22.319,66.957
debat,11,57.914,173.743,11,57.914,173.743
declaration-commune,2,0.491,1.474,0,0.0,0.0
memorandum,5,1.448,4.345,2,0.861,2.582
note-documentaire,147,72.799,218.397,27,7.904,23.711
note-methodologique,14,6.685,20.056,0,0.0,0.0
rapport,280,206.904,620.713,97,88.003,264.009
rapport-externe,3,1.327,3.98,1,0.096,0.287
